id,total_games,win,lose,kill,death,assist,cs,jungle_cs,gold,pick_rate,ban_rate,ward,kills_per_game,deaths_per_game,assists_per_game,wards_per_game,gold_per_game,cs_per_game,jg_cs_per_game,win_rate,region,rank,sumofallgames,name,role1,role2,role3,class_type,archetype_type
777,48165,23807,24358,298989,362831,234742,6582293,707254,518196567,0.3192,0.17043183824608227,25760,6.20759887885394,7.5330841897643515,4.873704972490398,0.5348281947472231,10758.778511367176,136.66133084189764,14.683982144710889,49.42800788954635,kr,iron,1508785,Yone,Top,Mid,NA,Fighter,Assassin
875,35115,18257,16858,183210,232007,181144,4145167,298117,354919068,0.2327,0.12580984101553377,19712,5.2174284493806065,6.607062508899331,5.158593193791827,0.561355546062936,10107.334985049125,118.04547913996868,8.489733732023351,51.99202619962979,kr,iron,1508785,Sett,Top,Support,Mid,Fighter,Juggernaut
876,3612,1770,1842,21827,22814,22672,283144,274205,39613207,0.0239,0.004770726121643636,5116,6.042912513842746,6.316168327796235,6.276854928017719,1.4163898117386489,10967.11157253599,78.38981173864894,75.91500553709857,49.00332225913621,kr,iron,1508785,Lillia,Jungle,NA,NA,Fighter,Skirmisher
887,2984,1354,1630,14400,19759,13073,323003,91265,29647902,0.0198,0.010912754283340417,2718,4.825737265415549,6.621648793565684,4.3810321715817695,0.910857908847185,9935.62399463807,108.24497319034853,30.584785522788202,45.375335120643435,kr,iron,1508785,Gwen,Top,Jungle,NA,Fighter,Skirmisher
888,2996,1473,1523,5947,19151,33426,67862,4110,22854182,0.0199,0.03229485978644286,6467,1.9849799732977302,6.39218958611482,11.156875834445929,2.1585447263017357,7628.231642189586,22.65086782376502,1.3718291054739653,49.16555407209613,kr,iron,1508785,Renata Glasc,Support,NA,NA,Controller,Enchanter
1,16758,8521,8237,112207,105145,119550,1916545,87598,173982630,0.0152,0.0024033812666677864,28413,6.695727413772526,6.274316744241556,7.13390619405657,1.6954887218045114,10382.064088793411,114.36597445995942,5.227234753550543,50.84735648645423,kr,bronze,11008241,Annie,Mid,Support,NA,Mage,Burst
2,16085,7262,8823,101432,109431,87272,1200216,1216220,174865059,0.0146,0.004529061496531959,23195,6.305999378302767,6.8032949953372706,5.425676095741374,1.4420267329810383,10871.312340690083,74.6170966739198,75.61206092632888,45.147653092943735,kr,bronze,11008241,Olaf,Jungle,NA,NA,Fighter,Diver
3,40680,19940,20740,148142,250476,410407,3639729,142266,357615485,0.037,0.006650108801779588,97684,3.6416420845624384,6.1572271386430675,10.088667649950835,2.4012782694198624,8790.941125860374,89.472197640118,3.497197640117994,49.01671583087512,kr,bronze,11008241,Galio,Mid,Support,NA,Tank,Warden
4,28954,13723,15231,133218,191709,226949,3762081,276892,310783798,0.0263,0.002119139645938906,50722,4.601022311252331,6.62115769841818,7.838260689369345,1.7518132209711956,10733.708572218002,129.93303170546383,9.563169164882227,47.395869309939904,kr,bronze,11008241,Twisted Fate,Mid,NA,NA,Mage,Burst
5,59452,28773,30679,380172,380024,399352,2775066,5630592,640172438,0.054,0.02754272922425975,124112,6.394604050326314,6.392114647110274,6.717217250891475,2.0876000807374018,10767.887337684182,46.677420440018835,94.70820157437933,48.39702617237435,kr,bronze,11008241,Xin Zhao,Jungle,NA,NA,Fighter,Diver
